unit;sector;na_item;geo;TIME_PERIOD;OBS_VALUE
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2001;-1458.9
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2002;-3131.6
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2003;-4142.0
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2004;-11644.8
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2005;-6373.1
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2006;-6790.6
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2007;-3846.8
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2008;-4392.5
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2009;-15351.9
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2010;-13141.6
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2011;-7919.3
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2012;-6975.5
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2013;-6316.5
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2014;-9092.0
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2015;-3477.1
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2016;-5487.8
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2017;-3014.4
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2018;655.5
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2019;2426.0
Million euro;General government;Net lending (+) /net borrowing (-);Austria;2020;-30517.1
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2001;616.1
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2002;-119.3
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2003;-5242.1
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2004;-708.9
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2005;-8417.8
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2006;779.0
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2007;227.7
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2008;-3852.8
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2009;-18817.0
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2010;-14844.3
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2011;-16279.8
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2012;-16676.2
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2013;-12294.9
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2014;-12313.8
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2015;-10057.8
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2016;-10164.1
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2017;-3043.3
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2018;-4002.3
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2019;-9302.3
Million euro;General government;Net lending (+) /net borrowing (-);Belgium;2020;-41258.2
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2001;108.0
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2002;-185.2
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2003;-7.1
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2004;376.6
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2005;386.8
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2006;731.2
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2007;-3.4
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2008;528.7
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2009;-1661.1
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2010;-1402.8
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2011;-724.7
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2012;-340.8
