geo;TIME_PERIOD;OBS_VALUE
Albania;2001;4385.8
Albania;2002;4612.4
Albania;2003;4928.6
Albania;2004;5777.8
Albania;2005;6475.3
Albania;2006;7090.8
Albania;2007;7809.8
Albania;2008;8800.3
Albania;2009;8662.2
Albania;2010;8996.6
Albania;2011;9268.3
Albania;2012;9585.8
Albania;2013;9625.4
Albania;2014;9968.6
Albania;2015;10264.1
Albania;2016;10719.9
Albania;2017;11559.0
Albania;2018;12828.1
Albania;2019;13754.2
Albania;2020;13283.3
Albania;2021;15432.3
Austria;2001;220525.1
Austria;2002;226735.2
Austria;2003;231862.5
Austria;2004;242348.3
Austria;2005;254075.0
Austria;2006;267824.5
Austria;2007;283978.0
Austria;2008;293761.9
Austria;2009;288044.0
Austria;2010;295896.6
Austria;2011;310128.7
Austria;2012;318653.0
Austria;2013;323910.2
Austria;2014;333146.1
Austria;2015;344269.2
Austria;2016;357608.0
Austria;2017;369361.9
Austria;2018;385274.1
Austria;2019;397169.5
Austria;2020;381042.5
Austria;2021;406148.7
Bosnia and Herzegovina;2001;6482.2
Bosnia and Herzegovina;2002;7149.1
Bosnia and Herzegovina;2003;7530.3
Bosnia and Herzegovina;2004;8179.7
Bosnia and Herzegovina;2005;9024.5
Bosnia and Herzegovina;2006;10255.1
Bosnia and Herzegovina;2007;11528.5
Bosnia and Herzegovina;2008;13047.8
Bosnia and Herzegovina;2009;12679.3
Bosnia and Herzegovina;2010;12968.9
Bosnia and Herzegovina;2011;13411.8
Bosnia and Herzegovina;2012;13407.5
Bosnia and Herzegovina;2013;13691.8
Bosnia and Herzegovina;2014;13988.3
Bosnia and Herzegovina;2015;14791.1
Bosnia and Herzegovina;2016;15474.3
Bosnia and Herzegovina;2017;16260.5
Bosnia and Herzegovina;2018;17354.2
Bosnia and Herzegovina;2019;18296.5
Bosnia and Herzegovina;2020;17755.9
Bosnia and Herzegovina;2021;19995.1
Belgium;2001;264334.9
Belgium;2002;273255.9
Belgium;2003;281200.2
Belgium;2004;296819.7
Belgium;2005;310037.6
Belgium;2006;325151.5
Belgium;2007;343618.9
Belgium;2008;351743.1
Belgium;2009;346472.8
Belgium;2010;363140.1
Belgium;2011;375967.8
Belgium;2012;386174.7
Belgium;2013;392880.0
Belgium;2014;403003.3
Belgium;2015;416701.4
Belgium;2016;430085.3
Belgium;2017;445050.1
Belgium;2018;460050.8
Belgium;2019;478645.0
Belgium;2020;459826.3
Belgium;2021;502311.6
Bulgaria;2001;15905.3
Bulgaria;2002;17478.3
Bulgaria;2003;18798.3
Bulgaria;2004;21093.2
Bulgaria;2005;24039.9
Bulgaria;2006;27410.0
Bulgaria;2007;32464.7
Bulgaria;2008;37246.7
Bulgaria;2009;37417.7
Bulgaria;2010;38284.9
Bulgaria;2011;41478.9
Bulgaria;2012;42256.8
Bulgaria;2013;42050.2
Bulgaria;2014;43026.0
Bulgaria;2015;45812.3
Bulgaria;2016;48773.1
Bulgaria;2017;52531.3
Bulgaria;2018;56224.8
Bulgaria;2019;61558.5
Bulgaria;2020;61638.9
Bulgaria;2021;71077.0
Switzerland;2001;320183.3
Switzerland;2002;328614.3
Switzerland;2003;320540.7
Switzerland;2004;325343.7
Switzerland;2005;336400.1
Switzerland;2006;352038.6
Switzerland;2007;358607.9
Switzerland;2008;387052.9
Switzerland;2009;399363.6
Switzerland;2010;452470.6
Switzerland;2011;515770.5
Switzerland;2012;534012.8
Switzerland;2013;531729.1
Switzerland;2014;548014.5
Switzerland;2015;625532.7
Switzerland;2016;621765.1
Switzerland;2017;615776.3
Switzerland;2018;614304.4
Switzerland;2019;644443.2
Switzerland;2020;648913.3
Switzerland;2021;676775.2
Cyprus;2001;11602.9
Cyprus;2002;12082.9
Cyprus;2003;12871.3
Cyprus;2004;13938.0
Cyprus;2005;15039.3
Cyprus;2006;16263.8
Cyprus;2007;17591.0
Cyprus;2008;19009.6
Cyprus;2009;18675.5
Cyprus;2010;19461.1
Cyprus;2011;19858.1
Cyprus;2012;19495.4
Cyprus;2013;18040.3
Cyprus;2014;17482.8
Cyprus;2015;17944.2
Cyprus;2016;19013.8
Cyprus;2017;20312.4
Cyprus;2018;21675.1
Cyprus;2019;23176.2
Cyprus;2020;21894.9
Cyprus;2021;24018.9
Czechia;2001;75705.2
Czechia;2002;87358.2
Czechia;2003;88659.5
Czechia;2004;96554.1
Czechia;2005;110321.7
Czechia;2006;124581.2
Czechia;2007;139002.1
Czechia;2008;162064.5
Czechia;2009;149586.5
Czechia;2010;157920.8
Czechia;2011;165202.2
Czechia;2012;162587.5
Czechia;2013;159461.5
Czechia;2014;157821.3
Czechia;2015;169558.2
Czechia;2016;177438.5
Czechia;2017;194132.9
Czechia;2018;210970.5
Czechia;2019;225613.5
Czechia;2020;215805.4
Czechia;2021;238249.5
Germany (until 1990 former territory of the FRG);2001;2172540.0
Germany (until 1990 former territory of the FRG);2002;2198120.0
Germany (until 1990 former territory of the FRG);2003;2211570.0
Germany (until 1990 former territory of the FRG);2004;2262520.0
Germany (until 1990 former territory of the FRG);2005;2288310.0
Germany (until 1990 former territory of the FRG);2006;2385080.0
Germany (until 1990 former territory of the FRG);2007;2499550.0
Germany (until 1990 former territory of the FRG);2008;2546490.0
Germany (until 1990 former territory of the FRG);2009;2445730.0
Germany (until 1990 former territory of the FRG);2010;2564400.0
Germany (until 1990 former territory of the FRG);2011;2693560.0
Germany (until 1990 former territory of the FRG);2012;2745310.0
Germany (until 1990 former territory of the FRG);2013;2811350.0
Germany (until 1990 former territory of the FRG);2014;2927430.0
Germany (until 1990 former territory of the FRG);2015;3026180.0
Germany (until 1990 former territory of the FRG);2016;3134740.0
Germany (until 1990 former territory of the FRG);2017;3267160.0
Germany (until 1990 former territory of the FRG);2018;3365450.0
Germany (until 1990 former territory of the FRG);2019;3473260.0
Germany (until 1990 former territory of the FRG);2020;3405430.0
Germany (until 1990 former territory of the FRG);2021;3601750.0
Denmark;2001;184045.6
Denmark;2002;189794.9
Denmark;2003;193353.4
Denmark;2004;202422.2
Denmark;2005;212832.4
Denmark;2006;225531.3
Denmark;2007;233383.3
Denmark;2008;241613.5
Denmark;2009;231278.0
Denmark;2010;243165.4
Denmark;2011;247879.9
Denmark;2012;254578.0
Denmark;2013;258742.7
Denmark;2014;265757.0
Denmark;2015;273017.6
Denmark;2016;283109.7
Denmark;2017;294808.2
Denmark;2018;302328.7
Denmark;2019;309526.4
Denmark;2020;311759.7
Denmark;2021;336718.8
Estonia;2001;6987.1
Estonia;2002;7822.6
Estonia;2003;8744.4
Estonia;2004;9777.5
Estonia;2005;11343.3
Estonia;2006;13568.9
Estonia;2007;16401.3
Estonia;2008;16618.1
Estonia;2009;14131.9
Estonia;2010;14741.1
Estonia;2011;16677.3
Estonia;2012;17916.7
Estonia;2013;18910.8
Estonia;2014;20048.2
Estonia;2015;20631.4
Estonia;2016;21747.9
Estonia;2017;23833.6
Estonia;2018;25932.2
Estonia;2019;27764.7
Estonia;2020;27465.0
Estonia;2021;31444.9
Greece;2001;152193.8
Greece;2002;163460.8
Greece;2003;178904.9
Greece;2004;193715.8
Greece;2005;199242.3
Greece;2006;217861.6
Greece;2007;232694.6
Greece;2008;241990.4
Greece;2009;237534.2
Greece;2010;224124.0
Greece;2011;203308.2
Greece;2012;188380.6
Greece;2013;179884.4
Greece;2014;177236.0
Greece;2015;176368.9
Greece;2016;174494.2
Greece;2017;176903.4
Greece;2018;179557.7
Greece;2019;183351.2
Greece;2020;165405.9
Greece;2021;181674.6
Spain;2001;700993.0
Spain;2002;749552.0
Spain;2003;802266.0
Spain;2004;859437.0
Spain;2005;927357.0
Spain;2006;1003823.0
Spain;2007;1075539.0
Spain;2008;1109541.0
Spain;2009;1069323.0
Spain;2010;1072709.0
Spain;2011;1063763.0
Spain;2012;1031104.0
Spain;2013;1020677.0
Spain;2014;1032608.0
Spain;2015;1078092.0
Spain;2016;1114420.0
Spain;2017;1162492.0
Spain;2018;1203859.0
Spain;2019;1245513.0
Spain;2020;1117989.0
Spain;2021;1206842.0
European Union - 27 countries (from 2020);2001;8241897.8
European Union - 27 countries (from 2020);2002;8538773.3
European Union - 27 countries (from 2020);2003;8767565.2
European Union - 27 countries (from 2020);2004;9167938.8
European Union - 27 countries (from 2020);2005;9560869.1
European Union - 27 countries (from 2020);2006;10112450.9
European Union - 27 countries (from 2020);2007;10738858.8
European Union - 27 countries (from 2020);2008;11085411.7
European Union - 27 countries (from 2020);2009;10587691.4
European Union - 27 countries (from 2020);2010;10980484.9
European Union - 27 countries (from 2020);2011;11328290.6
European Union - 27 countries (from 2020);2012;11396449.5
European Union - 27 countries (from 2020);2013;11516210.9
European Union - 27 countries (from 2020);2014;11782085.3
European Union - 27 countries (from 2020);2015;12215145.8
European Union - 27 countries (from 2020);2016;12548705.7
European Union - 27 countries (from 2020);2017;13074833.0
European Union - 27 countries (from 2020);2018;13533330.2
European Union - 27 countries (from 2020);2019;14018694.3
European Union - 27 countries (from 2020);2020;13461563.4
European Union - 27 countries (from 2020);2021;14530921.0
Finland;2001;144628.0
Finland;2002;148486.0
Finland;2003;151749.0
Finland;2004;158758.0
Finland;2005;164687.0
Finland;2006;172897.0
Finland;2007;187072.0
Finland;2008;194265.0
Finland;2009;181747.0
Finland;2010;188143.0
Finland;2011;197998.0
Finland;2012;201037.0
Finland;2013;204321.0
Finland;2014;206897.0
Finland;2015;211385.0
Finland;2016;217518.0
Finland;2017;226301.0
Finland;2018;233462.0
Finland;2019;239858.0
Finland;2020;238038.0
Finland;2021;250594.0
France;2001;1538200.0
France;2002;1587829.0
France;2003;1630666.0
France;2004;1704019.0
France;2005;1765905.0
France;2006;1848151.0
France;2007;1941360.0
France;2008;1992380.0
France;2009;1936422.0
France;2010;1995289.0
France;2011;2058369.0
France;2012;2088804.0
France;2013;2117189.0
France;2014;2149765.0
France;2015;2198432.0
France;2016;2234129.0
France;2017;2297242.0
France;2018;2363306.0
France;2019;2437635.0
France;2020;2310469.0
France;2021;2500870.0
Croatia;2001;25931.7
Croatia;2002;28761.2
Croatia;2003;31025.7
Croatia;2004;33818.0
Croatia;2005;36845.2
Croatia;2006;40579.3
Croatia;2007;44335.5
Croatia;2008;48465.2
Croatia;2009;45586.2
Croatia;2010;45763.6
Croatia;2011;45549.9
Croatia;2012;44621.2
Croatia;2013;44437.1
Croatia;2014;43989.1
Croatia;2015;45257.9
Croatia;2016;47338.7
Croatia;2017;49985.9
Croatia;2018;52747.2
Croatia;2019;55644.4
Croatia;2020;50424.9
Croatia;2021;58254.1
Hungary;2001;60012.9
Hungary;2002;71756.1
Hungary;2003;75427.8
Hungary;2004;83883.3
Hungary;2005;91090.4
Hungary;2006;92126.7
Hungary;2007;102414.6
Hungary;2008;108345.4
Hungary;2009;94605.6
Hungary;2010;99771.6
Hungary;2011;102152.0
Hungary;2012;100247.6
Hungary;2013;102239.7
Hungary;2014;106263.8
Hungary;2015;112791.0
Hungary;2016;116255.7
Hungary;2017;127024.7
Hungary;2018;136054.6
Hungary;2019;146526.1
Hungary;2020;137826.5
Hungary;2021;153758.7
Ireland;2001;122089.2
Ireland;2002;135997.6
Ireland;2003;145576.4
Ireland;2004;156260.3
Ireland;2005;170306.8
Ireland;2006;184916.2
Ireland;2007;197069.4
Ireland;2008;187283.0
Ireland;2009;169519.7
Ireland;2010;167391.4
Ireland;2011;171703.2
Ireland;2012;175615.4
Ireland;2013;179457.6
Ireland;2014;195085.2
Ireland;2015;262975.9
Ireland;2016;270205.3
Ireland;2017;297763.2
Ireland;2018;326631.3
Ireland;2019;356704.6
Ireland;2020;372836.4
Ireland;2021;426283.4
Iceland;2001;9177.3
Iceland;2002;9911.1
Iceland;2003;10118.1
Iceland;2004;11136.3
Iceland;2005;13568.0
Iceland;2006;13966.7
Iceland;2007;15827.4
Iceland;2008;11052.1
Iceland;2009;9419.1
Iceland;2010;10383.4
Iceland;2011;10934.3
Iceland;2012;11479.9
Iceland;2013;12132.9
Iceland;2014;13472.6
Iceland;2015;15795.3
Iceland;2016;18804.2
Iceland;2017;21917.7
Iceland;2018;22238.3
Iceland;2019;22027.5
Iceland;2020;18880.6
Iceland;2021;21611.1
Italy;2001;1304136.8
Italy;2002;1350258.9
Italy;2003;1394693.2
Italy;2004;1452319.0
Italy;2005;1493635.3
Italy;2006;1552686.8
Italy;2007;1614839.8
Italy;2008;1637699.4
Italy;2009;1577255.9
Italy;2010;1611279.4
Italy;2011;1648755.8
Italy;2012;1624358.7
Italy;2013;1612751.3
Italy;2014;1627405.6
Italy;2015;1655355.0
Italy;2016;1695786.8
Italy;2017;1736592.8
Italy;2018;1771391.2
Italy;2019;1796648.5
Italy;2020;1661019.9
Italy;2021;1787675.4
Liechtenstein;2013;4812.4
Liechtenstein;2014;5021.7
Liechtenstein;2015;5649.1
Liechtenstein;2016;5637.7
Liechtenstein;2017;5734.6
Liechtenstein;2018;5666.3
Liechtenstein;2019;5750.1
Liechtenstein;2020;5617.9
Lithuania;2001;13664.6
Lithuania;2002;15153.3
Lithuania;2003;16650.2
Lithuania;2004;18219.4
Lithuania;2005;20979.9
Lithuania;2006;24053.3
Lithuania;2007;29011.2
Lithuania;2008;32660.1
Lithuania;2009;26897.0
Lithuania;2010;28033.8
Lithuania;2011;31317.2
Lithuania;2012;33410.2
Lithuania;2013;35039.5
Lithuania;2014;36581.3
Lithuania;2015;37345.7
Lithuania;2016;38889.9
Lithuania;2017;42276.3
Lithuania;2018;45515.2
Lithuania;2019;48908.2
Lithuania;2020;49769.6
Lithuania;2021;56179.1
Luxembourg;2001;23879.9
Luxembourg;2002;25011.1
