unit;na_item;geo;TIME_PERIOD;OBS_VALUE
Million euro;Net lending (+) /net borrowing (-);Austria;2001;-1458.9
Million euro;Net lending (+) /net borrowing (-);Austria;2002;-3131.6
Million euro;Net lending (+) /net borrowing (-);Austria;2003;-4142.1
Million euro;Net lending (+) /net borrowing (-);Austria;2004;-11644.8
Million euro;Net lending (+) /net borrowing (-);Austria;2005;-6373.1
Million euro;Net lending (+) /net borrowing (-);Austria;2006;-6790.6
Million euro;Net lending (+) /net borrowing (-);Austria;2007;-3846.8
Million euro;Net lending (+) /net borrowing (-);Austria;2008;-4392.5
Million euro;Net lending (+) /net borrowing (-);Austria;2009;-15351.9
Million euro;Net lending (+) /net borrowing (-);Austria;2010;-13141.6
Million euro;Net lending (+) /net borrowing (-);Austria;2011;-7919.3
Million euro;Net lending (+) /net borrowing (-);Austria;2012;-6975.5
Million euro;Net lending (+) /net borrowing (-);Austria;2013;-6316.5
Million euro;Net lending (+) /net borrowing (-);Austria;2014;-9092.1
Million euro;Net lending (+) /net borrowing (-);Austria;2015;-3477.1
Million euro;Net lending (+) /net borrowing (-);Austria;2016;-5487.8
Million euro;Net lending (+) /net borrowing (-);Austria;2017;-3014.4
Million euro;Net lending (+) /net borrowing (-);Austria;2018;655.5
Million euro;Net lending (+) /net borrowing (-);Austria;2019;2426.0
Million euro;Net lending (+) /net borrowing (-);Austria;2020;-30517.1
Million euro;Net lending (+) /net borrowing (-);Austria;2021;-24082.8
Million euro;Net lending (+) /net borrowing (-);Belgium;2001;615.5
Million euro;Net lending (+) /net borrowing (-);Belgium;2002;-119.4
Million euro;Net lending (+) /net borrowing (-);Belgium;2003;-5242.0
Million euro;Net lending (+) /net borrowing (-);Belgium;2004;-708.5
Million euro;Net lending (+) /net borrowing (-);Belgium;2005;-8417.5
Million euro;Net lending (+) /net borrowing (-);Belgium;2006;779.0
Million euro;Net lending (+) /net borrowing (-);Belgium;2007;228.3
Million euro;Net lending (+) /net borrowing (-);Belgium;2008;-3852.8
Million euro;Net lending (+) /net borrowing (-);Belgium;2009;-18816.9
Million euro;Net lending (+) /net borrowing (-);Belgium;2010;-14844.1
Million euro;Net lending (+) /net borrowing (-);Belgium;2011;-16279.7
Million euro;Net lending (+) /net borrowing (-);Belgium;2012;-16676.5
Million euro;Net lending (+) /net borrowing (-);Belgium;2013;-12294.7
Million euro;Net lending (+) /net borrowing (-);Belgium;2014;-12314.5
Million euro;Net lending (+) /net borrowing (-);Belgium;2015;-10057.8
Million euro;Net lending (+) /net borrowing (-);Belgium;2016;-10163.4
Million euro;Net lending (+) /net borrowing (-);Belgium;2017;-3043.4
Million euro;Net lending (+) /net borrowing (-);Belgium;2018;-4001.8
Million euro;Net lending (+) /net borrowing (-);Belgium;2019;-9301.8
Million euro;Net lending (+) /net borrowing (-);Belgium;2020;-41259.0
Million euro;Net lending (+) /net borrowing (-);Belgium;2021;-27931.7
Million euro;Net lending (+) /net borrowing (-);Bulgaria;2001;108.0
Million euro;Net lending (+) /net borrowing (-);Bulgaria;2002;-185.2
