key;geo;thema;subthema;prop
GF0101;Austria;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;24
GF0102;Austria;General public services;Foreign economic aid;2
GF0103;Austria;General public services;General services;14
GF0104;Austria;General public services;Basic research;5
GF0105;Austria;General public services;R&D General public services;0
GF0106;Austria;General public services;General public services n.e.c.;0
GF0107;Austria;General public services;Public debt transactions;15
GF0108;Austria;General public services;Transfers of a general character between different levels of government;0
GF0201;Austria;Defence;Military defence;6
GF0202;Austria;Defence;Civil defence;0
GF0203;Austria;Defence;Foreign military aid;0
GF0204;Austria;Defence;R&D Defence;0
GF0205;Austria;Defence;Defence n.e.c.;0
GF0301;Austria;Public order and safety;Police services;7
GF0302;Austria;Public order and safety;Fire-protection services;2
GF0303;Austria;Public order and safety;Law courts;3
GF0304;Austria;Public order and safety;Prisons;2
GF0305;Austria;Public order and safety;R&D Public order and safety;0
GF0306;Austria;Public order and safety;Public order and safety n.e.c.;1
GF0401;Austria;Economic affairs;General economic, commercial and labour affairs;49
GF0402;Austria;Economic affairs;Agriculture, forestry, fishing and hunting;4
GF0403;Austria;Economic affairs;Fuel and energy;0
GF0404;Austria;Economic affairs;Mining, manufacturing and construction;0
GF0405;Austria;Economic affairs;Transport;30
GF0406;Austria;Economic affairs;Communication;1
GF0407;Austria;Economic affairs;Other industries;2
GF0408;Austria;Economic affairs;R&D Economic affairs;11
GF0409;Austria;Economic affairs;Economic affairs n.e.c.;0
GF0501;Austria;Environmental protection;Waste management;1
GF0502;Austria;Environmental protection;Waste water management;1
GF0503;Austria;Environmental protection;Pollution abatement;2
GF0504;Austria;Environmental protection;Protection of biodiversity and landscape;0
GF0505;Austria;Environmental protection;R&D Environmental protection;0
GF0506;Austria;Environmental protection;Environmental protection n.e.c.;0
GF0601;Austria;Housing and community amenities;Housing development;1
GF0602;Austria;Housing and community amenities;Community development;0
GF0603;Austria;Housing and community amenities;Water supply;0
GF0604;Austria;Housing and community amenities;Street lighting;1
GF0605;Austria;Housing and community amenities;R&D Housing and community amenities;0
GF0606;Austria;Housing and community amenities;Housing and community amenities n.e.c.;0
GF0701;Austria;Health;Medical products, appliances and equipment;12
GF0702;Austria;Health;Outpatient services;16
GF0703;Austria;Health;Hospital services;51
GF0704;Austria;Health;Public health services;4
GF0705;Austria;Health;R&D Health;5
GF0706;Austria;Health;Health n.e.c.;3
GF0801;Austria;Recreation, culture and religion;Recreational and sporting services;3
GF0802;Austria;Recreation, culture and religion;Cultural services;5
GF0803;Austria;Recreation, culture and religion;Broadcasting and publishing services;3
GF0804;Austria;Recreation, culture and religion;Religious and other community services;1
GF0805;Austria;Recreation, culture and religion;R&D Recreation, culture and religion;0
GF0806;Austria;Recreation, culture and religion;Recreation, culture and religion n.e.c.;0
GF0901;Austria;Education;Pre-primary and primary education;16
GF0902;Austria;Education;Secondary education;21
GF0903;Austria;Education;Post-secondary non-tertiary education;0
GF0904;Austria;Education;Tertiary education;8
GF0905;Austria;Education;Education not definable by level;2
GF0906;Austria;Education;Subsidiary services to education;2
GF0907;Austria;Education;R&D Education;0
GF0908;Austria;Education;Education n.e.c.;1
GF1001;Austria;Social protection;Sickness and disability;19
GF1002;Austria;Social protection;Old age;138
GF1003;Austria;Social protection;Survivors;14
GF1004;Austria;Social protection;Family and children;24
GF1005;Austria;Social protection;Unemployment;19
GF1006;Austria;Social protection;Housing;1
GF1007;Austria;Social protection;Social exclusion n.e.c.;11
GF1008;Austria;Social protection;R&D Social protection;0
GF1009;Austria;Social protection;Social protection n.e.c.;2
GF0101;Belgium;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;25
GF0102;Belgium;General public services;Foreign economic aid;3
GF0103;Belgium;General public services;General services;13
GF0104;Belgium;General public services;Basic research;12
GF0105;Belgium;General public services;R&D General public services;0
GF0106;Belgium;General public services;General public services n.e.c.;0
GF0107;Belgium;General public services;Public debt transactions;21
GF0108;Belgium;General public services;Transfers of a general character between different levels of government;0
GF0201;Belgium;Defence;Military defence;9
GF0202;Belgium;Defence;Civil defence;0
GF0203;Belgium;Defence;Foreign military aid;0
GF0204;Belgium;Defence;R&D Defence;0
GF0205;Belgium;Defence;Defence n.e.c.;0
GF0301;Belgium;Public order and safety;Police services;11
GF0302;Belgium;Public order and safety;Fire-protection services;2
GF0303;Belgium;Public order and safety;Law courts;3
GF0304;Belgium;Public order and safety;Prisons;1
GF0305;Belgium;Public order and safety;R&D Public order and safety;0
GF0306;Belgium;Public order and safety;Public order and safety n.e.c.;1
GF0401;Belgium;Economic affairs;General economic, commercial and labour affairs;41
GF0402;Belgium;Economic affairs;Agriculture, forestry, fishing and hunting;1
GF0403;Belgium;Economic affairs;Fuel and energy;1
GF0404;Belgium;Economic affairs;Mining, manufacturing and construction;0
GF0405;Belgium;Economic affairs;Transport;30
GF0406;Belgium;Economic affairs;Communication;1
GF0407;Belgium;Economic affairs;Other industries;1
GF0408;Belgium;Economic affairs;R&D Economic affairs;3
GF0409;Belgium;Economic affairs;Economic affairs n.e.c.;0
GF0501;Belgium;Environmental protection;Waste management;5
GF0502;Belgium;Environmental protection;Waste water management;1
GF0503;Belgium;Environmental protection;Pollution abatement;7
GF0504;Belgium;Environmental protection;Protection of biodiversity and landscape;1
GF0505;Belgium;Environmental protection;R&D Environmental protection;0
GF0506;Belgium;Environmental protection;Environmental protection n.e.c.;1
GF0601;Belgium;Housing and community amenities;Housing development;1
GF0602;Belgium;Housing and community amenities;Community development;1
GF0603;Belgium;Housing and community amenities;Water supply;0
GF0604;Belgium;Housing and community amenities;Street lighting;1
GF0605;Belgium;Housing and community amenities;R&D Housing and community amenities;0
GF0606;Belgium;Housing and community amenities;Housing and community amenities n.e.c.;0
GF0701;Belgium;Health;Medical products, appliances and equipment;8
GF0702;Belgium;Health;Outpatient services;31
GF0703;Belgium;Health;Hospital services;45
GF0704;Belgium;Health;Public health services;2
GF0705;Belgium;Health;R&D Health;0
GF0706;Belgium;Health;Health n.e.c.;2
GF0801;Belgium;Recreation, culture and religion;Recreational and sporting services;4
GF0802;Belgium;Recreation, culture and religion;Cultural services;5
GF0803;Belgium;Recreation, culture and religion;Broadcasting and publishing services;2
GF0804;Belgium;Recreation, culture and religion;Religious and other community services;1
GF0805;Belgium;Recreation, culture and religion;R&D Recreation, culture and religion;0
GF0806;Belgium;Recreation, culture and religion;Recreation, culture and religion n.e.c.;1
GF0901;Belgium;Education;Pre-primary and primary education;21
GF0902;Belgium;Education;Secondary education;25
GF0903;Belgium;Education;Post-secondary non-tertiary education;0
GF0904;Belgium;Education;Tertiary education;9
GF0905;Belgium;Education;Education not definable by level;6
GF0906;Belgium;Education;Subsidiary services to education;2
GF0907;Belgium;Education;R&D Education;0
GF0908;Belgium;Education;Education n.e.c.;1
GF1001;Belgium;Social protection;Sickness and disability;38
GF1002;Belgium;Social protection;Old age;102
GF1003;Belgium;Social protection;Survivors;17
GF1004;Belgium;Social protection;Family and children;24
GF1005;Belgium;Social protection;Unemployment;31
GF1006;Belgium;Social protection;Housing;2
GF1007;Belgium;Social protection;Social exclusion n.e.c.;12
GF1008;Belgium;Social protection;R&D Social protection;0
GF1009;Belgium;Social protection;Social protection n.e.c.;2
GF0101;Bulgaria;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;26
GF0102;Bulgaria;General public services;Foreign economic aid;0
GF0103;Bulgaria;General public services;General services;1
GF0104;Bulgaria;General public services;Basic research;3
GF0105;Bulgaria;General public services;R&D General public services;#VALEUR!
GF0106;Bulgaria;General public services;General public services n.e.c.;0
GF0107;Bulgaria;General public services;Public debt transactions;5
GF0108;Bulgaria;General public services;Transfers of a general character between different levels of government;#VALEUR!
GF0201;Bulgaria;Defence;Military defence;14
GF0202;Bulgaria;Defence;Civil defence;1
GF0203;Bulgaria;Defence;Foreign military aid;0
GF0204;Bulgaria;Defence;R&D Defence;#VALEUR!
GF0205;Bulgaria;Defence;Defence n.e.c.;0
GF0301;Bulgaria;Public order and safety;Police services;14
GF0302;Bulgaria;Public order and safety;Fire-protection services;2
GF0303;Bulgaria;Public order and safety;Law courts;7
GF0304;Bulgaria;Public order and safety;Prisons;2
GF0305;Bulgaria;Public order and safety;R&D Public order and safety;0
GF0306;Bulgaria;Public order and safety;Public order and safety n.e.c.;2
GF0401;Bulgaria;Economic affairs;General economic, commercial and labour affairs;20
GF0402;Bulgaria;Economic affairs;Agriculture, forestry, fishing and hunting;9
GF0403;Bulgaria;Economic affairs;Fuel and energy;17
GF0404;Bulgaria;Economic affairs;Mining, manufacturing and construction;0
GF0405;Bulgaria;Economic affairs;Transport;38
GF0406;Bulgaria;Economic affairs;Communication;1
GF0407;Bulgaria;Economic affairs;Other industries;1
GF0408;Bulgaria;Economic affairs;R&D Economic affairs;0
GF0409;Bulgaria;Economic affairs;Economic affairs n.e.c.;0
GF0501;Bulgaria;Environmental protection;Waste management;6
GF0502;Bulgaria;Environmental protection;Waste water management;0
GF0503;Bulgaria;Environmental protection;Pollution abatement;#VALEUR!
GF0504;Bulgaria;Environmental protection;Protection of biodiversity and landscape;0
GF0505;Bulgaria;Environmental protection;R&D Environmental protection;#VALEUR!
GF0506;Bulgaria;Environmental protection;Environmental protection n.e.c.;1
GF0601;Bulgaria;Housing and community amenities;Housing development;3
GF0602;Bulgaria;Housing and community amenities;Community development;1
GF0603;Bulgaria;Housing and community amenities;Water supply;1
GF0604;Bulgaria;Housing and community amenities;Street lighting;1
GF0605;Bulgaria;Housing and community amenities;R&D Housing and community amenities;#VALEUR!
GF0606;Bulgaria;Housing and community amenities;Housing and community amenities n.e.c.;2
GF0701;Bulgaria;Health;Medical products, appliances and equipment;8
GF0702;Bulgaria;Health;Outpatient services;7
GF0703;Bulgaria;Health;Hospital services;38
GF0704;Bulgaria;Health;Public health services;1
GF0705;Bulgaria;Health;R&D Health;#VALEUR!
GF0706;Bulgaria;Health;Health n.e.c.;5
GF0801;Bulgaria;Recreation, culture and religion;Recreational and sporting services;2
GF0802;Bulgaria;Recreation, culture and religion;Cultural services;5
GF0803;Bulgaria;Recreation, culture and religion;Broadcasting and publishing services;1
GF0804;Bulgaria;Recreation, culture and religion;Religious and other community services;1
GF0805;Bulgaria;Recreation, culture and religion;R&D Recreation, culture and religion;#VALEUR!
GF0806;Bulgaria;Recreation, culture and religion;Recreation, culture and religion n.e.c.;#VALEUR!
GF0901;Bulgaria;Education;Pre-primary and primary education;8
GF0902;Bulgaria;Education;Secondary education;21
GF0903;Bulgaria;Education;Post-secondary non-tertiary education;#VALEUR!
GF0904;Bulgaria;Education;Tertiary education;7
GF0905;Bulgaria;Education;Education not definable by level;0
GF0906;Bulgaria;Education;Subsidiary services to education;1
GF0907;Bulgaria;Education;R&D Education;0
GF0908;Bulgaria;Education;Education n.e.c.;2
GF1001;Bulgaria;Social protection;Sickness and disability;6
GF1002;Bulgaria;Social protection;Old age;95
GF1003;Bulgaria;Social protection;Survivors;#VALEUR!
GF1004;Bulgaria;Social protection;Family and children;19
GF1005;Bulgaria;Social protection;Unemployment;6
GF1006;Bulgaria;Social protection;Housing;1
GF1007;Bulgaria;Social protection;Social exclusion n.e.c.;1
GF1008;Bulgaria;Social protection;R&D Social protection;#VALEUR!
GF1009;Bulgaria;Social protection;Social protection n.e.c.;3
GF0101;Croatia;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;33
GF0102;Croatia;General public services;Foreign economic aid;0
GF0103;Croatia;General public services;General services;4
GF0104;Croatia;General public services;Basic research;1
GF0105;Croatia;General public services;R&D General public services;1
GF0106;Croatia;General public services;General public services n.e.c.;1
GF0107;Croatia;General public services;Public debt transactions;24
GF0108;Croatia;General public services;Transfers of a general character between different levels of government;0
GF0201;Croatia;Defence;Military defence;10
GF0202;Croatia;Defence;Civil defence;0
GF0203;Croatia;Defence;Foreign military aid;0
GF0204;Croatia;Defence;R&D Defence;0
GF0205;Croatia;Defence;Defence n.e.c.;1
GF0301;Croatia;Public order and safety;Police services;14
GF0302;Croatia;Public order and safety;Fire-protection services;3
GF0303;Croatia;Public order and safety;Law courts;5
GF0304;Croatia;Public order and safety;Prisons;2
GF0305;Croatia;Public order and safety;R&D Public order and safety;0
GF0306;Croatia;Public order and safety;Public order and safety n.e.c.;1
GF0401;Croatia;Economic affairs;General economic, commercial and labour affairs;42
GF0402;Croatia;Economic affairs;Agriculture, forestry, fishing and hunting;6
GF0403;Croatia;Economic affairs;Fuel and energy;12
GF0404;Croatia;Economic affairs;Mining, manufacturing and construction;7
GF0405;Croatia;Economic affairs;Transport;40
GF0406;Croatia;Economic affairs;Communication;0
GF0407;Croatia;Economic affairs;Other industries;4
GF0408;Croatia;Economic affairs;R&D Economic affairs;1
GF0409;Croatia;Economic affairs;Economic affairs n.e.c.;1
GF0501;Croatia;Environmental protection;Waste management;1
GF0502;Croatia;Environmental protection;Waste water management;1
GF0503;Croatia;Environmental protection;Pollution abatement;0
GF0504;Croatia;Environmental protection;Protection of biodiversity and landscape;2
GF0505;Croatia;Environmental protection;R&D Environmental protection;0
GF0506;Croatia;Environmental protection;Environmental protection n.e.c.;4
GF0601;Croatia;Housing and community amenities;Housing development;2
GF0602;Croatia;Housing and community amenities;Community development;6
GF0603;Croatia;Housing and community amenities;Water supply;11
GF0604;Croatia;Housing and community amenities;Street lighting;1
GF0605;Croatia;Housing and community amenities;R&D Housing and community amenities;0
GF0606;Croatia;Housing and community amenities;Housing and community amenities n.e.c.;4
GF0701;Croatia;Health;Medical products, appliances and equipment;20
GF0702;Croatia;Health;Outpatient services;10
GF0703;Croatia;Health;Hospital services;36
GF0704;Croatia;Health;Public health services;3
GF0705;Croatia;Health;R&D Health;0
GF0706;Croatia;Health;Health n.e.c.;4
GF0801;Croatia;Recreation, culture and religion;Recreational and sporting services;4
GF0802;Croatia;Recreation, culture and religion;Cultural services;8
GF0803;Croatia;Recreation, culture and religion;Broadcasting and publishing services;5
GF0804;Croatia;Recreation, culture and religion;Religious and other community services;0
GF0805;Croatia;Recreation, culture and religion;R&D Recreation, culture and religion;0
GF0806;Croatia;Recreation, culture and religion;Recreation, culture and religion n.e.c.;1
GF0901;Croatia;Education;Pre-primary and primary education;26
GF0902;Croatia;Education;Secondary education;10
GF0903;Croatia;Education;Post-secondary non-tertiary education;0
GF0904;Croatia;Education;Tertiary education;11
GF0905;Croatia;Education;Education not definable by level;0
GF0906;Croatia;Education;Subsidiary services to education;3
GF0907;Croatia;Education;R&D Education;1
GF0908;Croatia;Education;Education n.e.c.;3
GF1001;Croatia;Social protection;Sickness and disability;19
GF1002;Croatia;Social protection;Old age;94
GF1003;Croatia;Social protection;Survivors;14
GF1004;Croatia;Social protection;Family and children;22
GF1005;Croatia;Social protection;Unemployment;5
GF1006;Croatia;Social protection;Housing;1
GF1007;Croatia;Social protection;Social exclusion n.e.c.;1
GF1008;Croatia;Social protection;R&D Social protection;0
GF1009;Croatia;Social protection;Social protection n.e.c.;2
GF0101;Cyprus;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;33
GF0102;Cyprus;General public services;Foreign economic aid;0
GF0103;Cyprus;General public services;General services;14
