geo;code;thema;subthema;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
European Union - 27 countries (from 2020);GF0101;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;20;20;20;20;20;19;20;20;21;20;20;21;22;21;20;19;19;19;19;22
European Union - 27 countries (from 2020);GF0102;General public services;Foreign economic aid;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;3;3;3;3;3
European Union - 27 countries (from 2020);GF0103;General public services;General services;11;11;11;12;11;11;11;12;13;12;12;12;12;12;12;11;11;12;12;13
European Union - 27 countries (from 2020);GF0104;General public services;Basic research;6;6;6;6;6;5;6;6;6;6;6;6;7;7;6;6;6;6;6;7
European Union - 27 countries (from 2020);GF0105;General public services;R&D General public services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0106;General public services;General public services n.e.c.;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0107;General public services;Public debt transactions;37;35;33;31;30;28;28;29;29;28;30;30;28;26;23;22;20;18;16;15
European Union - 27 countries (from 2020);GF0108;General public services;Transfers of a general character between different levels of government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0201;Defence;Military defence;12;12;12;12;12;12;11;11;12;12;11;11;11;10;11;11;11;11;11;12
European Union - 27 countries (from 2020);GF0202;Defence;Civil defence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0203;Defence;Foreign military aid;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0204;Defence;R&D Defence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0205;Defence;Defence n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0301;Public order and safety;Police services;9;9;9;9;9;9;9;9;10;10;9;9;9;9;9;9;9;9;9;10
European Union - 27 countries (from 2020);GF0302;Public order and safety;Fire-protection services;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
European Union - 27 countries (from 2020);GF0303;Public order and safety;Law courts;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
European Union - 27 countries (from 2020);GF0304;Public order and safety;Prisons;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
European Union - 27 countries (from 2020);GF0305;Public order and safety;R&D Public order and safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0306;Public order and safety;Public order and safety n.e.c.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0401;Economic affairs;General economic, commercial and labour affairs;9;9;9;9;8;8;7;8;11;16;10;13;11;10;11;9;10;10;9;19
European Union - 27 countries (from 2020);GF0402;Economic affairs;Agriculture, forestry, fishing and hunting;5;5;4;4;4;4;4;4;4;4;4;3;3;3;3;2;3;3;3;3
European Union - 27 countries (from 2020);GF0403;Economic affairs;Fuel and energy;2;2;2;2;2;2;2;2;2;2;3;3;3;4;4;4;3;3;3;4
